origin_code,origin_sub_district,origin_district,destination_code,destination_sub_district,destination_district,species_type,number,weekly_volume
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,PULO GADUNG,,BR,1500,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKT-123,PULO GADUNG,,BR,300,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,CAKUNG,,BR,200,
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,CAKUNG,,BR,700,
D-TGR-060,LEGOK,TANGERANG,D-TGR-059,CURUG,,BR,200,1400
D-TGR-060,LEGOK,TANGERANG,D-TGR-030,KELAPA DUA,,BR,700,4900
D-TGR-060,LEGOK,TANGERANG,,LEGOK,,BR,100,700
D-TGR-029,KELAPA DUA,TANGERANG,D-TGR-030,KELAPA DUA,,BR,400,2800
D-TGR-029,KELAPA DUA,TANGERANG,,KELAPA DUA,,BR,75,525
D-BGR-197,CISARUA,BOGOR,,CISARUA,,BR,25,175
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,,PULO GADUNG,,BR,1000,7000
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,,CENGKARENG,,BR,400,2800
M-JKT-137,PULO GADUNG,JAKARTA TIMUR,,CIKARANG PUSAT,,BR,400,2800
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,D-BKS-005,CIKARANG UTARA,,BR,700,700
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKS-022,PASAR MINGGU,,BR,300,300
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKT-123,PULO GADUNG,,BR,500,500
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,PULO GADUNG,,BR,3000,21000
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,TANJUNG PRIOK,,BR,1000,7000
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,,KRAMAT JATI,,BR,1000,7000
M-JKT-012,PULO GADUNG,JAKARTA TIMUR,M-JKT-123,PULO GADUNG,,BR,400,400
