origin_code,origin_sub_district,origin_district,destination_code,destination_sub_district,destination_district,species_type,number,weekly_volume
D-BGR-109,BOJONG GEDE,BOGOR,M-DPK-010,CIMANGGIS,,BR,45,315
M-BGR-014,KOTA BOGOR TENGAH,KOTA BOGOR,,KOTA BOGOR UTARA,,AK,50,50
M-BGR-014,KOTA BOGOR TENGAH,KOTA BOGOR,,KOTA BOGOR UTARA,,AK,10,40
M-BGR-014,KOTA BOGOR TENGAH,KOTA BOGOR,M-BGR-002,KOTA BOGOR TENGAH,,AK,25,175
M-BKS-098,BEKASI BARAT,KOTA BEKASI,M-BKS-022,BEKASI BARAT,,AK,,
M-BKS-098,BEKASI BARAT,KOTA BEKASI,,BEKASI BARAT,,AK,,
M-JKB-054,TAMBORA,JAKARTA BARAT,D-TGR-044,CIKUPA,,BR,50,
M-JKB-054,TAMBORA,JAKARTA BARAT,M-JKS-036,KEBAYORAN LAMA,,BR,50,
D-BGR-105,BOJONG GEDE,BOGOR,D-BGR-107,BOJONG GEDE,,BR,100,700
M-JKP-047,CEMPAKA PUTIH,JAKARTA PUSAT,M-JKP-003,CEMPAKA PUTIH,,BR,200,1400
M-JKP-047,CEMPAKA PUTIH,JAKARTA PUSAT,M-JKP-011,JOHAR BARU,,BR,400,2800
M-JKP-047,CEMPAKA PUTIH,JAKARTA PUSAT,,SENEN,,BR,400,2800
M-JKP-047,CEMPAKA PUTIH,JAKARTA PUSAT,M-JKU-029,TANJUNG PRIOK,,BR,400,2800
M-JKP-047,CEMPAKA PUTIH,JAKARTA PUSAT,M-JKP-012,JOHAR BARU,,BR,300,2100
M-JKP-047,CEMPAKA PUTIH,JAKARTA PUSAT,M-JKP-019,SENEN,,BR,600,4200
M-JKP-047,CEMPAKA PUTIH,JAKARTA PUSAT,M-JKS-034,CILANDAK,,BR,300,2100
M-JKP-047,CEMPAKA PUTIH,JAKARTA PUSAT,M-JKS-022,PASAR MINGGU,,BR,400,2800
M-BKS-086,RAWALUMBU,KOTA BEKASI,M-BKS-033,MUSTIKA JAYA,,BR,200,1400
M-BKS-089,BANTARGEBANG,KOTA BEKASI,,BANTARGEBANG,,BR,60,420
M-BKS-025,BEKASI BARAT,KOTA BEKASI,M-BKS-006,BEKASI TIMUR,,BR,100,700
M-BKS-025,BEKASI BARAT,KOTA BEKASI,M-BKS-022,BEKASI BARAT,,BR,2200,15400
M-BKS-025,BEKASI BARAT,KOTA BEKASI,M-BKS-022,BEKASI BARAT,,BR,1500,10500
,,,,BATUCEPER,,DU,10,70
M-JKS-077-1,KEBAYORAN LAMA,JAKARTA SELATAN,,PALMERAH,,BR,200,1400
M-JKS-077-1,KEBAYORAN LAMA,JAKARTA SELATAN,,KEBAYORAN LAMA,,BR,100,700
M-JKS-077-3,KEBAYORAN LAMA,JAKARTA SELATAN,,PALMERAH,,BR,500,3500
M-JKS-077-3,KEBAYORAN LAMA,JAKARTA SELATAN,,KEBAYORAN LAMA,,BR,500,3500
D-BGR-002,CISEENG,BOGOR,,CISEENG,,BR,10,70
D-BGR-206,CISEENG,BOGOR,,GROGOL PETAMBURAN,,BR,600,4200
D-BGR-206,CISEENG,BOGOR,,CILEDUG,,BR,500,3500
D-BGR-206,CISEENG,BOGOR,,PARUNG,,BR,400,2800
D-BGR-206,CISEENG,BOGOR,,PAMULANG,,BR,500,3500
D-BGR-223,CIOMAS,BOGOR,D-BGR-226,CIOMAS,,BR,30,30
D-BGR-227,CIOMAS,BOGOR,D-BGR-226,CIOMAS,,BR,30,30
D-BGR-037,CIBINONG,BOGOR,D-BGR-041,CIBINONG,,AK,20,100
D-BGR-037,CIBINONG,BOGOR,D-BGR-041,CIBINONG,,DU,10,30
D-BGR-032,CIBINONG,BOGOR,,CITEUREUP,,BR,20,100
D-BGR-021,CIBINONG,BOGOR,,JATISAMPURNA,,BR,150,1050
D-BGR-021,CIBINONG,BOGOR,,CITEUREUP,,BR,150,1050
M-TGR-074,BATUCEPER,KOTA TANGERANG,,KARAWACI,,AK,5,15
M-TGR-074,BATUCEPER,KOTA TANGERANG,,KARAWACI,,AK,10,10
M-TGR-074,BATUCEPER,KOTA TANGERANG,,KARAWACI,,DU,5,5
M-TGR-074,BATUCEPER,KOTA TANGERANG,,KARAWACI,,AK,10,70
M-TGR-074,BATUCEPER,KOTA TANGERANG,,KARAWACI,,DU,10,70
M-TGR-046,BATUCEPER,KOTA TANGERANG,,NEGLASARI,,AK,5,35
M-TGR-046,BATUCEPER,KOTA TANGERANG,,NEGLASARI,,DU,10,70
M-TGR-046,BATUCEPER,KOTA TANGERANG,,KARAWACI,,DU,10,70
M-TGR-044,BATUCEPER,KOTA TANGERANG,,JAYANTI,,BR,130,910
M-TGR-044,BATUCEPER,KOTA TANGERANG,,CIKUPA,,BR,150,1050
M-TGR-044,BATUCEPER,KOTA TANGERANG,,BALARAJA,,BR,150,1050
M-TGR-044,BATUCEPER,KOTA TANGERANG,,CIPONDOH,,BR,150,1050
M-TGR-044,BATUCEPER,KOTA TANGERANG,,BATUCEPER,,BR,150,1050
M-TGR-044,BATUCEPER,KOTA TANGERANG,,TANGERANG,,BR,150,1050
