destination_code,destination_sub_district,destination_district,origin_district,species_type,number,weekly_volume
M-JKT-192,MATRAMAN,JAKARTA TIMUR,KOTA BANDAR LAMPUNG,BR,1200,4200
M-JKT-192,MATRAMAN,JAKARTA TIMUR,CIAMIS,BR,1600,5600
M-JKT-192,MATRAMAN,JAKARTA TIMUR,KOTA BANDAR LAMPUNG,BR,1600,5600
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SUBANG,BR,1500,10500
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SUKABUMI,BR,1500,10500
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,BOGOR,BR,1500,1500
M-JKT-066,MATRAMAN,JAKARTA TIMUR,TASIKMALAYA,BR,2000,4000
M-JKT-066,MATRAMAN,JAKARTA TIMUR,BANDUNG,BR,2000,2000
M-JKT-066,MATRAMAN,JAKARTA TIMUR,KOTA CIREBON,BR,250,250
M-JKP-040,KEMAYORAN,JAKARTA PUSAT,SUKABUMI,BR,3000,6000
M-JKP-040,KEMAYORAN,JAKARTA PUSAT,SUBANG,BR,3000,3000
M-JKP-040,KEMAYORAN,JAKARTA PUSAT,BANYUMAS,BR,3000,3000
M-JKP-040,KEMAYORAN,JAKARTA PUSAT,BOGOR,BR,3000,9000
M-TGR-094,NEGLASARI,KOTA TANGERANG,TASIKMALAYA,BR,1500,10500
M-TGR-064,NEGLASARI,KOTA TANGERANG,KOTA BOGOR,BR,1000,7000
M-JKP-043,SENEN,JAKARTA PUSAT,TANGERANG,BR,4000,16000
M-JKP-043,SENEN,JAKARTA PUSAT,SUKABUMI,BR,4000,8000
M-JKP-043,SENEN,JAKARTA PUSAT,CIANJUR,BR,4000,4000
M-JKP-043,SENEN,JAKARTA PUSAT,BOGOR,BR,600,1399,9998
M-JKP-043,SENEN,JAKARTA PUSAT,SUKABUMI,BR,600,1399,9998
M-JKP-043,SENEN,JAKARTA PUSAT,TANGERANG,BR,600,1399,9998
M-TGR-093,NEGLASARI,KOTA TANGERANG,CIAMIS,BR,3000,9000
M-JKP-020,KEMAYORAN,JAKARTA PUSAT,SUKABUMI,BR,1500,10500
M-JKP-020,KEMAYORAN,JAKARTA PUSAT,BOGOR,BR,1000,7000
M-JKB-039,CENGKARENG,JAKARTA BARAT,SERANG,BR,1200,6000
M-JKB-039,CENGKARENG,JAKARTA BARAT,TANGERANG,BR,1200,1200
M-JKB-039,CENGKARENG,JAKARTA BARAT,BOGOR,BR,1200,1200
M-JKP-046,SENEN,JAKARTA PUSAT,TANGERANG,BR,700,4200
M-JKP-046,SENEN,JAKARTA PUSAT,BEKASI,BR,350,350
M-JKP-046,SENEN,JAKARTA PUSAT,KARAWANG,BR,350,350
M-TGR-062,NEGLASARI,KOTA TANGERANG,TASIKMALAYA,BR,2000,4000
M-JKB-039,CENGKARENG,JAKARTA BARAT,SERANG,BR,3200,19200
M-JKB-039,CENGKARENG,JAKARTA BARAT,BOGOR,BR,3200,3200
M-TGR-021,TANGERANG,KOTA TANGERANG,SERANG,BR,2000,14000
M-TGR-021,TANGERANG,KOTA TANGERANG,SERANG,BR,1000,7000
M-JKB-039,CENGKARENG,JAKARTA BARAT,BOGOR,BR,900,4500
M-JKB-039,CENGKARENG,JAKARTA BARAT,SERANG,BR,900,1800
M-JKB-008,CENGKARENG,JAKARTA BARAT,BOGOR,BR,500,3500
M-JKB-008,CENGKARENG,JAKARTA BARAT,BOGOR,AK,100,700
M-TGR-099,NEGLASARI,KOTA TANGERANG,SERANG,BR,2500,8750
M-TGR-099,NEGLASARI,KOTA TANGERANG,BOGOR,BR,2500,8750
M-TGR-012,TANGERANG,KOTA TANGERANG,SERANG,BR,600,4200
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SERANG,LA,1000,3000
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SUKABUMI,LA,1000,1000
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SUKABUMI,LA,1000,3000
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,TANGERANG,BR,600,4200
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SUKABUMI,BR,1500,10500
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,SUBANG,BR,1500,10500
M-JKP-005,CEMPAKA PUTIH,JAKARTA PUSAT,CIANJUR,BR,750,5250
M-JKB-001,CENGKARENG,JAKARTA BARAT,BANDUNG,BR,800,800
M-JKB-001,CENGKARENG,JAKARTA BARAT,SERANG,BR,1200,1200
M-JKB-001,CENGKARENG,JAKARTA BARAT,BOGOR,BR,300,300
M-BGR-015,KOTA BOGOR BARAT,KOTA BOGOR,KOTA BOGOR,AK,30,60
M-BGR-015,KOTA BOGOR BARAT,KOTA BOGOR,KOTA BOGOR,AK,40,40
M-JKP-041,KEMAYORAN,JAKARTA PUSAT,TASIKMALAYA,BR,2000,14000
M-JKP-041,KEMAYORAN,JAKARTA PUSAT,BANDUNG,BR,2000,14000
M-BKS-087,RAWALUMBU,KOTA BEKASI,TASIKMALAYA,BR,1000,3500
M-BKS-087,RAWALUMBU,KOTA BEKASI,LAMPUNG UTARA,BR,1000,3500
M-BKS-073,RAWALUMBU,KOTA BEKASI,BANDUNG,BR,3000,10500
M-BKS-073,RAWALUMBU,KOTA BEKASI,TASIKMALAYA,BR,3000,10500
M-TGR-096,NEGLASARI,KOTA TANGERANG,TANGERANG,BR,2000,14000
